DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM             0.355               0.774            -0.419         1.167
RESSURF            0.350               0.775            -0.425         2.240
SOLIN            340.262             340.262             0.000         0.000
AAM            1.245e+26           1.240e+26         4.484e+23      -999.000
CHI_200            0.021               0.022            -0.001         0.118
CLDHGH            31.711              31.813            -0.102         0.859
CLDLOW            34.836              34.854            -0.018         0.632
CLDMED            19.307              19.291             0.016         0.603
CLDTOT            54.059              54.114            -0.056         0.746
EKE_850           31.975              31.875             0.100         0.887
EP             3.578e-05          -6.644e-05         1.022e-04         0.122
FLNS              59.850              59.867            -0.017         0.873
FLNSC             85.412              85.402             0.010         0.574
FLNT             233.215             233.167             0.048         1.026
FLNTC            263.671             263.714            -0.043         0.445
FSDS             183.972             184.744            -0.772         2.136
FSDSC            248.033             249.353            -1.320         2.152
FSNS             160.569             161.274            -0.704         1.900
FSNSC            218.063             219.254            -1.191         1.980
FSNSC_ICE         49.033              49.801            -0.768         1.666
FSNSC_LAND       179.645             181.606            -1.961         2.857
FSNT             233.570             233.941            -0.371         1.459
FSNTC            287.121             288.004            -0.882         1.520
ICEAREA           23.764              23.764             0.000         0.000
LHFLX             83.286              83.433            -0.147         1.829
LWCF              30.456              30.547            -0.091         0.796
PRECT              2.854               2.859            -0.005         0.112
PRECT_LAND         2.381               2.405            -0.024         0.108
PRECT_OCEAN        3.186               3.182             0.004         0.117
PREH2O            24.723              24.774            -0.051         0.208
PREH2O_OCEAN      28.918              28.946            -0.027         0.190
PSI_200           -0.041              -0.042             0.001         0.050
PS               985.310             985.315            -0.005         0.330
PSL             1011.522            1011.517             0.006         0.349
QFLX               2.854               2.859            -0.005         0.055
SHFLX             17.084              17.199            -0.115         1.020
SNOWHLND          11.805              11.793             0.012         1.603
SST               19.857              19.857             0.000         0.003
STRESS_MAG         0.073               0.073            -0.001         0.004
SWCF             -53.551             -54.063             0.512         1.446
T_850            280.397             280.427            -0.029         0.162
TGCLDLWP         129.521             129.673            -0.152         3.895
TGCLDIWP          16.475              16.484            -0.009         0.514
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           286.584             286.622            -0.038         0.181
TS               287.367             287.405            -0.038         0.189
TS_LAND          280.413             280.544            -0.130         0.337
U_200             15.329              15.315             0.013         0.451
VT_850             0.230               0.230             0.000         0.314
Z3_500            56.411              56.417            -0.006         0.039
