DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM             8.106               8.187            -0.081         1.729
RESSURF            7.562               7.445             0.117         4.142
SOLIN            350.493             350.493             0.000         0.000
AAM            1.373e+26           1.359e+26         1.418e+24      -999.000
CHI_200           -0.021              -0.020            -0.002         0.364
CLDHGH            30.788              30.838            -0.050         1.557
CLDLOW            35.258              35.336            -0.078         1.100
CLDMED            19.542              19.499             0.043         1.196
CLDTOT            53.926              53.994            -0.068         1.405
EKE_850           28.107              28.248            -0.141         1.706
EP             6.906e-03           8.513e-03        -1.607e-03         0.258
FLNS              58.268              58.221             0.046         1.304
FLNSC             84.269              84.267             0.001         0.786
FLNT             230.363             230.327             0.036         1.848
FLNTC            260.304             260.309            -0.005         0.613
FSDS             189.385             189.705            -0.319         2.996
FSDSC            257.696             258.407            -0.711         1.298
FSNS             164.705             164.959            -0.254         2.719
FSNSC            226.653             227.234            -0.582         1.245
FSNSC_ICE         14.505              14.424             0.081         0.713
FSNSC_LAND       144.035             144.854            -0.819         1.881
FSNT             238.469             238.514            -0.045         2.447
FSNTC            295.897             296.262            -0.365         0.880
ICEAREA           19.594              19.594             0.000         0.000
LHFLX             83.609              83.965            -0.356         3.212
LWCF              29.941              29.982            -0.040         1.509
PRECT              2.855               2.865            -0.010         0.235
PRECT_LAND         2.332               2.349            -0.017         0.218
PRECT_OCEAN        3.183               3.190            -0.008         0.246
PREH2O            23.814              23.818            -0.004         0.336
PREH2O_OCEAN      28.398              28.386             0.012         0.352
PSI_200           -0.000               0.000            -0.000         0.095
PS               985.221             985.221            -0.000         0.516
PSL             1011.800            1011.795             0.005         0.534
QFLX               2.862               2.873            -0.012         0.092
SHFLX             15.266              15.328            -0.061         1.537
SNOWHLND          12.606              12.605             0.001         1.701
SST               19.432              19.432             0.000         0.003
STRESS_MAG         0.078               0.078            -0.000         0.005
SWCF             -57.428             -57.748             0.320         2.471
T_850            278.998             278.998             0.000         0.208
TGCLDLWP         131.547             131.683            -0.136         7.781
TGCLDIWP          16.782              16.770             0.011         0.963
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.793             284.810            -0.017         0.234
TS               285.546             285.563            -0.017         0.235
TS_LAND          274.365             274.422            -0.058         0.414
U_200             16.555              16.490             0.065         0.763
VT_850            -0.597              -0.599             0.002         0.698
Z3_500            56.199              56.202            -0.003         0.069
