DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM           -10.786             -10.040            -0.746         2.394
RESSURF          -11.769             -11.131            -0.638         3.598
SOLIN            330.382             330.382             0.000         0.000
AAM            9.149e+25           9.085e+25         6.448e+23      -999.000
CHI_200            0.088               0.086             0.002         0.237
CLDHGH            32.766              32.902            -0.136         1.666
CLDLOW            36.357              36.344             0.013         1.188
CLDMED            19.302              19.279             0.022         1.159
CLDTOT            55.931              55.972            -0.041         1.424
EKE_850           27.729              27.526             0.203         1.607
EP             1.249e-02           1.323e-02        -7.339e-04         0.223
FLNS              59.446              59.524            -0.079         1.448
FLNSC             85.342              85.324             0.017         0.939
FLNT             236.183             236.187            -0.004         1.923
FLNTC            267.559             267.692            -0.134         0.759
FSDS             172.822             174.101            -1.279         4.046
FSDSC            237.780             239.750            -1.970         3.422
FSNS             152.197             153.456            -1.260         3.602
FSNSC            210.134             212.034            -1.900         3.454
FSNSC_ICE         41.152              42.741            -1.590         4.772
FSNSC_LAND       216.875             219.934            -3.059         4.675
FSNT             225.397             226.147            -0.750         2.964
FSNTC            279.731             281.183            -1.452         2.831
ICEAREA           26.808              26.808             0.000         0.000
LHFLX             85.518              85.803            -0.285         2.965
LWCF              31.375              31.505            -0.130         1.528
PRECT              2.922               2.930            -0.009         0.209
PRECT_LAND         2.449               2.479            -0.031         0.219
PRECT_OCEAN        3.257               3.253             0.004         0.210
PREH2O            26.223              26.321            -0.098         0.398
PREH2O_OCEAN      29.447              29.501            -0.054         0.343
PSI_200           -0.090              -0.092             0.003         0.085
PS               985.457             985.467            -0.010         0.542
PSL             1011.304            1011.292             0.012         0.587
QFLX               2.934               2.944            -0.010         0.088
SHFLX             19.002              19.260            -0.258         1.736
SNOWHLND          10.761              10.739             0.022         1.620
SST               19.764              19.764            -0.000         0.003
STRESS_MAG         0.081               0.082            -0.001         0.007
SWCF             -54.334             -55.036             0.703         2.862
T_850            281.967             282.047            -0.081         0.287
TGCLDLWP         134.610             134.845            -0.235         7.513
TGCLDIWP          15.462              15.496            -0.034         0.922
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           288.398             288.467            -0.069         0.267
TS               289.200             289.269            -0.068         0.282
TS_LAND          286.367             286.599            -0.232         0.502
U_200             12.226              12.208             0.018         0.760
VT_850             1.150               1.149             0.001         0.560
Z3_500            56.699              56.714            -0.015         0.063
