DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM             1.468               1.934            -0.466         1.837
RESSURF           -0.157               0.340            -0.497         4.357
SOLIN            338.246             338.246             0.000         0.000
AAM            1.456e+26           1.456e+26         3.285e+22      -999.000
CHI_200            0.011               0.011            -0.000         0.194
CLDHGH            32.260              32.402            -0.142         1.717
CLDLOW            33.332              33.321             0.011         1.145
CLDMED            19.450              19.469            -0.019         1.168
CLDTOT            53.220              53.288            -0.068         1.491
EKE_850           29.309              29.435            -0.127         1.720
EP             7.899e-03           8.340e-03        -4.403e-04         0.260
FLNS              61.356              61.366            -0.010         1.500
FLNSC             86.207              86.224            -0.016         0.922
FLNT             232.396             232.275             0.120         1.921
FLNTC            263.223             263.229            -0.006         0.750
FSDS             186.240             187.071            -0.831         3.433
FSDSC            246.307             247.805            -1.498         2.670
FSNS             161.426             162.143            -0.718         3.140
FSNSC            215.125             216.432            -1.307         2.541
FSNSC_ICE         35.230              35.759            -0.529         0.892
FSNSC_LAND       190.961             193.328            -2.367         3.982
FSNT             233.864             234.210            -0.346         2.531
FSNTC            283.931             284.872            -0.941         1.864
ICEAREA           22.205              22.205             0.000         0.000
LHFLX             82.559              82.602            -0.043         3.745
LWCF              30.827              30.954            -0.126         1.564
PRECT              2.819               2.820            -0.001         0.230
PRECT_LAND         2.305               2.317            -0.012         0.176
PRECT_OCEAN        3.155               3.149             0.006         0.257
PREH2O            24.439              24.477            -0.039         0.383
PREH2O_OCEAN      28.887              28.926            -0.039         0.394
PSI_200           -0.032              -0.032             0.000         0.089
PS               985.282             985.286            -0.004         0.531
PSL             1011.508            1011.510            -0.003         0.543
QFLX               2.827               2.828            -0.002         0.109
SHFLX             17.668              17.835            -0.167         1.591
SNOWHLND          13.023              13.014             0.009         1.610
SST               19.647              19.647            -0.000         0.004
STRESS_MAG         0.074               0.074             0.000         0.006
SWCF             -50.068             -50.663             0.595         2.526
T_850            280.347             280.367            -0.020         0.315
TGCLDLWP         124.402             124.531            -0.129         7.834
TGCLDIWP          17.213              17.220            -0.007         1.005
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           286.566             286.593            -0.027         0.318
TS               287.353             287.382            -0.029         0.319
TS_LAND          280.151             280.254            -0.103         0.550
U_200             17.202              17.225            -0.023         0.891
VT_850             0.215               0.210             0.004         0.752
Z3_500            56.359              56.362            -0.003         0.074
