DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM             2.857               3.207            -0.350         1.826
RESSURF            6.022               6.645            -0.623         4.115
SOLIN            342.169             342.169             0.000         0.000
AAM            1.239e+26           1.244e+26        -4.249e+23      -999.000
CHI_200            0.021               0.023            -0.002         0.289
CLDHGH            31.010              31.092            -0.082         1.640
CLDLOW            34.403              34.419            -0.017         1.131
CLDMED            18.928              18.921             0.007         1.184
CLDTOT            53.141              53.193            -0.051         1.485
EKE_850           28.566              28.443             0.123         1.758
EP            -2.727e-02          -3.015e-02         2.879e-03         0.241
FLNS              60.300              60.318            -0.019         1.397
FLNSC             85.807              85.766             0.041         0.855
FLNT             233.848             233.809             0.039         1.930
FLNTC            263.511             263.539            -0.028         0.657
FSDS             187.618             188.239            -0.621         3.216
FSDSC            250.591             251.673            -1.082         2.050
FSNS             164.096             164.643            -0.547         2.909
FSNSC            220.555             221.514            -0.959         1.852
FSNSC_ICE         47.142              47.181            -0.039         0.316
FSNSC_LAND       165.782             167.360            -1.578         2.816
FSNT             236.705             237.016            -0.310         2.442
FSNTC            289.137             289.896            -0.759         1.354
ICEAREA           26.388              26.388             0.000         0.000
LHFLX             81.426              81.348             0.078         3.382
LWCF              29.663              29.730            -0.067         1.547
PRECT              2.820               2.820            -0.001         0.230
PRECT_LAND         2.441               2.471            -0.030         0.205
PRECT_OCEAN        3.112               3.100             0.013         0.248
PREH2O            24.393              24.459            -0.065         0.354
PREH2O_OCEAN      28.489              28.526            -0.038         0.362
PSI_200           -0.043              -0.045             0.002         0.080
PS               985.278             985.284            -0.006         0.566
PSL             1011.482            1011.475             0.007         0.589
QFLX               2.792               2.790             0.002         0.102
SHFLX             16.348              16.331             0.017         1.445
SNOWHLND          10.836              10.820             0.016         1.637
SST               19.717              19.717             0.000         0.004
STRESS_MAG         0.076               0.076             0.000         0.007
SWCF             -52.432             -52.881             0.449         2.377
T_850            280.228             280.249            -0.021         0.228
TGCLDLWP         127.516             127.656            -0.140         7.299
TGCLDIWP          16.452              16.456            -0.005         0.977
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           286.535             286.576            -0.041         0.230
TS               287.322             287.362            -0.040         0.239
TS_LAND          280.628             280.755            -0.127         0.395
U_200             15.351              15.367            -0.016         0.795
VT_850             0.140               0.148            -0.007         0.692
Z3_500            56.379              56.383            -0.004         0.065
