DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM           -29.715             -28.962            -0.753         1.535
RESSURF          -11.978             -11.013            -0.965         2.804
SOLIN            303.162             303.162             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.829              -0.835             0.006         0.113
CLDHGH            26.935              27.058            -0.122         0.918
CLDLOW            33.970              33.968             0.002         0.798
CLDMED            19.336              19.339            -0.003         0.640
CLDTOT            50.010              50.058            -0.048         0.789
EKE_850           38.915              39.177            -0.262         0.957
EP             4.674e-02           3.569e-02         1.105e-02         0.109
FLNS              63.570              63.686            -0.115         1.167
FLNSC             91.167              91.224            -0.057         0.793
FLNT             228.336             228.513            -0.177         1.049
FLNTC            253.382             253.641            -0.259         0.655
FSDS             163.696             165.302            -1.607         2.897
FSDSC            219.792             222.533            -2.741         3.413
FSNS             133.432             134.906            -1.475         2.529
FSNSC            181.162             183.634            -2.472         3.146
FSNSC_ICE         38.689              39.952            -1.263         2.138
FSNSC_LAND       165.182             168.065            -2.882         3.643
FSNT             198.621             199.551            -0.930         1.833
FSNTC            242.469             244.434            -1.964         2.522
ICEAREA           12.362              12.362             0.000         0.000
LHFLX             60.455              60.500            -0.045         1.947
LWCF              25.046              25.128            -0.082         0.758
PRECT              2.001               2.015            -0.014         0.105
PRECT_LAND         1.716               1.743            -0.026         0.103
PRECT_OCEAN        2.500               2.504            -0.003         0.116
PREH2O            17.178              17.271            -0.093         0.254
PREH2O_OCEAN      23.158              23.220            -0.062         0.243
PSI_200           -6.563              -6.540            -0.024         0.070
PS               975.737             975.711             0.026         0.402
PSL             1015.982            1015.935             0.047         0.431
QFLX               2.048               2.051            -0.003         0.061
SHFLX             21.384              21.734            -0.350         1.433
SNOWHLND           5.916               5.835             0.081         1.773
SST               17.106              17.106            -0.000         0.004
STRESS_MAG         0.058               0.057             0.001         0.003
SWCF             -43.849             -44.882             1.034         1.768
T_850            276.476             276.594            -0.118         0.264
TGCLDLWP         129.318             129.530            -0.212         4.562
TGCLDIWP          19.180              19.154             0.026         0.563
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.069             281.193            -0.124         0.294
TS               281.694             281.818            -0.124         0.305
TS_LAND          278.010             278.254            -0.245         0.428
U_200             18.923              18.819             0.104         0.586
VT_850             0.182               0.181             0.001         0.435
Z3_500            55.997              56.015            -0.018         0.054
