DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM          -107.411            -107.477             0.066         1.134
RESSURF          -75.752             -75.639            -0.114         5.523
SOLIN            161.071             161.071             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.166               3.176            -0.011         0.330
CLDHGH            24.531              24.498             0.033         1.503
CLDLOW            32.365              32.504            -0.139         1.349
CLDMED            22.448              22.453            -0.005         1.268
CLDTOT            48.062              48.083            -0.021         1.351
EKE_850           47.712              48.345            -0.633         2.515
EP             2.162e-01           2.080e-01         8.198e-03         0.202
FLNS              62.561              62.471             0.091         1.502
FLNSC             90.610              90.585             0.025         0.914
FLNT             210.826             210.986            -0.161         1.237
FLNTC            234.091             234.205            -0.114         0.737
FSDS              86.567              87.113            -0.546         1.857
FSDSC            114.095             115.314            -1.219         1.652
FSNS              69.932              70.299            -0.367         1.645
FSNSC             92.924              93.796            -0.872         1.535
FSNSC_ICE          1.059               1.075            -0.016         0.042
FSNSC_LAND        75.231              76.195            -0.965         1.961
FSNT             103.415             103.510            -0.095         1.384
FSNTC            125.422             126.005            -0.582         1.175
ICEAREA           14.265              14.265             0.000         0.000
LHFLX             64.657              64.849            -0.192         3.456
LWCF              23.266              23.219             0.047         1.026
PRECT              1.930               1.945            -0.015         0.175
PRECT_LAND         1.101               1.118            -0.017         0.137
PRECT_OCEAN        3.061               3.079            -0.017         0.221
PREH2O            11.104              11.153            -0.049         0.283
PREH2O_OCEAN      17.396              17.480            -0.084         0.343
PSI_200           -8.290              -8.248            -0.042         0.135
PS               976.756             976.652             0.104         0.838
PSL             1018.572            1018.448             0.124         0.869
QFLX               2.146               2.153            -0.007         0.103
SHFLX             18.467              18.618            -0.151         2.199
SNOWHLND           7.510               7.450             0.060         1.943
SST               14.916              14.916             0.000         0.005
STRESS_MAG         0.086               0.085             0.001         0.008
SWCF             -22.007             -22.495             0.488         1.395
T_850            269.197             269.230            -0.033         0.332
TGCLDLWP         123.891             124.521            -0.630         8.225
TGCLDIWP          23.472              23.430             0.042         1.132
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           271.962             272.009            -0.047         0.381
TS               272.670             272.713            -0.043         0.372
TS_LAND          263.514             263.607            -0.094         0.505
U_200             25.082              24.999             0.084         0.983
VT_850             0.310               0.310             0.000         1.077
Z3_500            54.766              54.770            -0.005         0.113
