DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM            46.689              48.223            -1.535         3.432
RESSURF           51.540              52.612            -1.072         3.733
SOLIN            445.788             445.788             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -4.485              -4.550             0.065         0.166
CLDHGH            29.405              29.698            -0.293         1.806
CLDLOW            38.537              38.521             0.016         1.478
CLDMED            16.147              16.154            -0.007         1.255
CLDTOT            54.694              54.868            -0.173         1.639
EKE_850           23.210              23.203             0.007         1.497
EP            -1.875e-01          -1.951e-01         7.651e-03         0.215
FLNS              59.865              60.133            -0.268         1.983
FLNSC             87.539              87.590            -0.052         1.410
FLNT             246.898             247.158            -0.261         2.245
FLNTC            273.606             274.111            -0.505         1.069
FSDS             233.840             236.265            -2.425         5.920
FSDSC            324.094             328.021            -3.927         5.247
FSNS             194.354             196.826            -2.473         5.204
FSNSC            271.928             275.827            -3.899         5.435
FSNSC_ICE        103.957             108.201            -4.244         7.799
FSNSC_LAND       259.994             264.061            -4.067         5.735
FSNT             293.586             295.382            -1.795         4.325
FSNTC            364.196             367.543            -3.347         4.756
ICEAREA           11.037              11.037             0.000         0.000
LHFLX             57.360              57.833            -0.473         2.918
LWCF              26.709              26.953            -0.244         1.700
PRECT              2.186               2.211            -0.025         0.221
PRECT_LAND         2.563               2.595            -0.032         0.243
PRECT_OCEAN        1.958               1.975            -0.017         0.210
PREH2O            25.541              25.743            -0.202         0.556
PREH2O_OCEAN      30.737              30.843            -0.106         0.495
PSI_200           -3.722              -3.678            -0.044         0.105
PS               974.221             974.194             0.027         0.452
PSL             1012.956            1012.900             0.057         0.482
QFLX               1.999               2.016            -0.017         0.093
SHFLX             25.588              26.249            -0.660         2.462
SNOWHLND           3.853               3.751             0.101         1.787
SST               19.296              19.297            -0.001         0.005
STRESS_MAG         0.048               0.049            -0.001         0.003
SWCF             -70.610             -72.162             1.552         4.030
T_850            284.853             285.122            -0.269         0.464
TGCLDLWP         136.470             136.341             0.128         8.874
TGCLDIWP          13.365              13.350             0.014         0.979
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           290.243             290.454            -0.211         0.415
TS               290.828             291.041            -0.213         0.444
TS_LAND          292.428             292.849            -0.421         0.645
U_200             10.539              10.318             0.221         0.891
VT_850             0.040               0.055            -0.015         0.734
Z3_500            57.420              57.460            -0.039         0.074
