DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM            11.923              12.679            -0.755         2.142
RESSURF           16.338              17.476            -1.137         4.755
SOLIN            365.947             365.947             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.043              -0.077             0.034         0.174
CLDHGH            27.219              27.360            -0.141         1.798
CLDLOW            31.496              31.479             0.017         1.406
CLDMED            19.709              19.769            -0.060         1.175
CLDTOT            48.234              48.294            -0.059         1.599
EKE_850           38.612              39.157            -0.545         1.861
EP             6.758e-02           5.482e-02         1.276e-02         0.205
FLNS              68.557              68.643            -0.086         1.902
FLNSC             95.625              95.749            -0.124         1.177
FLNT             225.361             225.416            -0.056         1.579
FLNTC            250.190             250.343            -0.152         0.998
FSDS             207.396             209.318            -1.922         4.285
FSDSC            271.125             274.684            -3.559         4.421
FSNS             161.077             162.739            -1.662         3.875
FSNSC            214.402             217.506            -3.105         4.232
FSNSC_ICE         38.375              39.040            -0.665         1.006
FSNSC_LAND       194.500             198.462            -3.962         5.252
FSNT             237.284             238.095            -0.811         2.763
FSNTC            284.904             287.147            -2.243         3.182
ICEAREA           14.742              14.742             0.000         0.000
LHFLX             52.360              52.425            -0.065         3.849
LWCF              24.829              24.926            -0.097         1.313
PRECT              1.696               1.713            -0.017         0.169
PRECT_LAND         1.519               1.549            -0.031         0.147
PRECT_OCEAN        2.080               2.086            -0.006         0.204
PREH2O            13.986              14.014            -0.028         0.391
PREH2O_OCEAN      19.573              19.601            -0.028         0.455
PSI_200           -8.048              -8.048            -0.000         0.110
PS               975.643             975.720            -0.077         0.680
PSL             1015.832            1015.906            -0.073         0.706
QFLX               1.764               1.768            -0.004         0.115
SHFLX             23.822              24.195            -0.373         2.144
SNOWHLND           8.332               8.253             0.079         1.757
SST               14.942              14.943            -0.000         0.005
STRESS_MAG         0.059               0.057             0.002         0.008
SWCF             -47.620             -49.052             1.431         2.759
T_850            274.880             274.914            -0.033         0.509
TGCLDLWP         121.233             121.882            -0.649         8.238
TGCLDIWP          20.623              20.605             0.018         1.168
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           279.649             279.732            -0.083         0.513
TS               280.203             280.288            -0.084         0.514
TS_LAND          277.911             278.099            -0.188         0.688
U_200             21.281              21.237             0.044         1.146
VT_850             0.321               0.324            -0.003         1.087
Z3_500            55.606              55.618            -0.011         0.108
