DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM           -72.188             -71.423            -0.766         1.866
RESSURF          -41.728             -40.219            -1.509         4.447
SOLIN            236.025             236.025             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.859              -1.784            -0.075         0.185
CLDHGH            26.541              26.624            -0.083         1.605
CLDLOW            33.443              33.326             0.117         1.305
CLDMED            19.099              19.053             0.046         1.175
CLDTOT            48.993              48.928             0.065         1.589
EKE_850           35.329              35.553            -0.223         1.829
EP             9.510e-02           7.974e-02         1.535e-02         0.199
FLNS              63.254              63.455            -0.201         1.588
FLNSC             90.868              90.938            -0.070         0.992
FLNT             229.868             230.118            -0.250         1.828
FLNTC            255.215             255.490            -0.275         0.828
FSDS             124.879             126.404            -1.525         3.045
FSDSC            166.983             169.205            -2.222         2.869
FSNS             106.688             108.078            -1.389         2.699
FSNSC            143.057             145.037            -1.980         2.611
FSNSC_ICE          8.688               8.898            -0.210         0.453
FSNSC_LAND       128.645             131.151            -2.505         3.209
FSNT             157.680             158.695            -1.015         2.205
FSNTC            192.260             193.917            -1.657         2.158
ICEAREA            9.413               9.413             0.000         0.000
LHFLX             67.601              67.065             0.536         3.353
LWCF              25.347              25.372            -0.025         1.389
PRECT              2.192               2.192             0.000         0.193
PRECT_LAND         1.670               1.691            -0.020         0.161
PRECT_OCEAN        2.898               2.877             0.021         0.230
PREH2O            17.958              18.050            -0.092         0.347
PREH2O_OCEAN      24.370              24.397            -0.027         0.349
PSI_200           -6.223              -6.226             0.003         0.086
PS               976.379             976.325             0.053         0.696
PSL             1016.655            1016.572             0.083         0.733
QFLX               2.287               2.272             0.016         0.104
SHFLX             17.561              17.776            -0.216         1.629
SNOWHLND           3.982               3.898             0.083         1.871
SST               18.532              18.533            -0.000         0.007
STRESS_MAG         0.067               0.062             0.004         0.008
SWCF             -34.580             -35.222             0.641         1.917
T_850            276.812             276.945            -0.133         0.307
TGCLDLWP         135.644             135.328             0.317         7.556
TGCLDIWP          19.364              19.323             0.041         1.029
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.227             282.379            -0.153         0.350
TS               282.882             283.036            -0.154         0.361
TS_LAND          277.854             278.118            -0.264         0.469
U_200             18.927              18.839             0.088         0.806
VT_850             0.037               0.028             0.009         0.829
Z3_500            56.165              56.180            -0.015         0.077
