DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM           -22.443             -22.335            -0.108         0.814
RESSURF           -3.516              -3.354            -0.162         1.999
SOLIN            303.162             303.162             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.488               1.499            -0.011         0.079
CLDHGH            25.763              25.840            -0.078         0.759
CLDLOW            41.601              41.670            -0.070         0.599
CLDMED            20.741              20.671             0.070         0.616
CLDTOT            55.361              55.449            -0.088         0.700
EKE_850           42.450              41.955             0.496         1.089
EP             1.350e-01           1.319e-01         3.066e-03         0.086
FLNS              60.977              60.877             0.101         0.801
FLNSC             93.343              93.258             0.086         0.475
FLNT             222.973             222.819             0.154         0.753
FLNTC            248.848             248.762             0.086         0.284
FSDS             163.400             163.398             0.002         1.350
FSDSC            225.519             225.726            -0.207         0.402
FSNS             138.812             138.793             0.019         1.214
FSNSC            193.895             194.066            -0.171         0.393
FSNSC_ICE         64.560              64.584            -0.024         0.294
FSNSC_LAND       123.207             123.403            -0.196         0.727
FSNT             200.530             200.484             0.046         1.037
FSNTC            250.552             250.701            -0.149         0.341
ICEAREA           11.402              11.402             0.000         0.000
LHFLX             67.989              68.026            -0.037         1.647
LWCF              25.875              25.943            -0.068         0.589
PRECT              2.158               2.163            -0.005         0.076
PRECT_LAND         1.412               1.436            -0.024         0.088
PRECT_OCEAN        2.407               2.404             0.003         0.076
PREH2O            15.450              15.485            -0.034         0.167
PREH2O_OCEAN      17.786              17.803            -0.017         0.143
PSI_200            7.389               7.374             0.016         0.049
PS               983.370             983.382            -0.012         0.418
PSL             1007.797            1007.798            -0.001         0.435
QFLX               2.293               2.294            -0.001         0.050
SHFLX             13.362              13.244             0.118         0.755
SNOWHLND          47.561              47.717            -0.157         2.292
SST               13.598              13.598             0.000         0.004
STRESS_MAG         0.093               0.095            -0.002         0.005
SWCF             -50.022             -50.217             0.195         1.087
T_850            274.037             274.010             0.027         0.101
TGCLDLWP         142.675             143.000            -0.325         3.513
TGCLDIWP          21.232              21.245            -0.013         0.584
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           279.413             279.395             0.018         0.105
TS               280.070             280.049             0.021         0.112
TS_LAND          262.979             262.895             0.083         0.238
U_200             25.999              26.051            -0.051         0.465
VT_850            -0.182              -0.177            -0.005         0.294
Z3_500            54.686              54.684             0.002         0.043
