DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM            75.351              75.366            -0.015         2.081
RESSURF           85.201              85.081             0.120         3.294
SOLIN            471.502             471.502             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -2.521              -2.489            -0.031         0.247
CLDHGH            23.578              23.614            -0.036         1.352
CLDLOW            44.727              44.772            -0.046         1.134
CLDMED            17.499              17.378             0.121         1.150
CLDTOT            56.107              56.192            -0.085         1.389
EKE_850           28.030              27.861             0.169         1.251
EP             6.079e-03           6.915e-03        -8.356e-04         0.190
FLNS              56.904              56.778             0.126         1.422
FLNSC             90.431              90.373             0.058         0.794
FLNT             233.509             233.428             0.081         1.528
FLNTC            257.854             257.833             0.021         0.477
FSDS             255.458             255.416             0.042         3.581
FSDSC            357.232             357.469            -0.237         0.573
FSNS             213.425             213.404             0.021         3.195
FSNSC            305.073             305.312            -0.239         0.790
FSNSC_ICE        114.680             113.871             0.808         2.069
FSNSC_LAND       184.312             184.638            -0.327         1.609
FSNT             308.860             308.794             0.066         2.810
FSNTC            390.366             390.552            -0.186         0.678
ICEAREA            5.328               5.328             0.000         0.000
LHFLX             59.756              60.015            -0.259         2.768
LWCF              24.344              24.405            -0.060         1.218
PRECT              2.036               2.044            -0.008         0.169
PRECT_LAND         2.207               2.253            -0.046         0.195
PRECT_OCEAN        2.047               2.047             0.000         0.167
PREH2O            19.013              19.012             0.002         0.337
PREH2O_OCEAN      20.451              20.415             0.036         0.337
PSI_200            7.205               7.169             0.036         0.078
PS               983.016             983.120            -0.104         0.343
PSL             1007.013            1007.121            -0.108         0.353
QFLX               2.042               2.051            -0.009         0.082
SHFLX             11.564              11.531             0.033         1.096
SNOWHLND          47.510              47.668            -0.158         2.293
SST               14.115              14.114             0.000         0.003
STRESS_MAG         0.079               0.079             0.000         0.004
SWCF             -81.505             -81.758             0.252         2.824
T_850            277.151             277.137             0.014         0.147
TGCLDLWP         149.094             149.027             0.067         7.519
TGCLDIWP          17.580              17.549             0.031         0.922
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           283.136             283.138            -0.002         0.133
TS               283.674             283.676            -0.002         0.156
TS_LAND          272.559             272.565            -0.005         0.374
U_200             21.298              21.215             0.082         0.608
VT_850            -0.020              -0.015            -0.005         0.526
Z3_500            55.347              55.355            -0.008         0.043
