DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM          -112.889            -112.688            -0.201         1.240
RESSURF          -84.531             -84.062            -0.469         3.802
SOLIN            150.780             150.780             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            5.306               5.363            -0.058         0.209
CLDHGH            27.830              28.021            -0.190         1.471
CLDLOW            39.893              40.052            -0.158         1.069
CLDMED            23.594              23.496             0.098         1.172
CLDTOT            55.673              55.815            -0.142         1.205
EKE_850           52.031              51.630             0.401         2.184
EP             2.316e-01           2.195e-01         1.209e-02         0.161
FLNS              63.987              63.838             0.149         1.167
FLNSC             96.109              96.045             0.064         0.588
FLNT             214.241             213.981             0.260         1.338
FLNTC            241.583             241.429             0.154         0.558
FSDS              77.761              77.692             0.069         1.411
FSDSC            106.319             106.458            -0.139         0.360
FSNS              69.783              69.731             0.052         1.236
FSNSC             94.745              94.859            -0.114         0.300
FSNSC_ICE          3.586               3.588            -0.002         0.020
FSNSC_LAND        71.629              71.808            -0.179         0.499
FSNT             101.352             101.293             0.059         1.105
FSNTC            125.443             125.549            -0.106         0.263
ICEAREA           15.771              15.771             0.000         0.000
LHFLX             75.350              75.173             0.177         2.776
LWCF              27.342              27.448            -0.106         1.062
PRECT              2.291               2.298            -0.007         0.138
PRECT_LAND         0.792               0.826            -0.034         0.114
PRECT_OCEAN        2.742               2.735             0.006         0.149
PREH2O            12.376              12.404            -0.028         0.197
PREH2O_OCEAN      14.895              14.913            -0.018         0.175
PSI_200            6.611               6.594             0.017         0.089
PS               984.178             984.156             0.022         0.833
PSL             1008.920            1008.862             0.058         0.907
QFLX               2.522               2.517             0.005         0.083
SHFLX             14.977              14.782             0.195         1.234
SNOWHLND          47.592              47.750            -0.158         2.327
SST               12.331              12.331            -0.000         0.003
STRESS_MAG         0.106               0.109            -0.002         0.010
SWCF             -24.091             -24.256             0.165         1.141
T_850            271.163             271.133             0.030         0.189
TGCLDLWP         138.958             140.222            -1.265         6.408
TGCLDIWP          23.692              23.770            -0.078         1.078
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           276.290             276.267             0.023         0.201
TS               277.060             277.032             0.029         0.195
TS_LAND          255.621             255.509             0.112         0.323
U_200             29.756              29.901            -0.145         0.894
VT_850            -0.333              -0.332            -0.001         0.575
Z3_500            54.129              54.126             0.003         0.081
