DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM           -68.649             -68.486            -0.163         1.346
RESSURF          -43.941             -43.738            -0.202         4.482
SOLIN            229.190             229.190             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.668               0.696            -0.028         0.122
CLDHGH            26.429              26.507            -0.078         1.278
CLDLOW            41.697              41.748            -0.051         1.139
CLDMED            21.534              21.542            -0.009         1.172
CLDTOT            55.873              55.946            -0.073         1.216
EKE_850           41.364              41.043             0.321         2.156
EP             1.679e-01           1.662e-01         1.679e-03         0.198
FLNS              60.150              60.022             0.128         1.456
FLNSC             92.077              91.973             0.104         0.842
FLNT             222.351             222.187             0.164         1.369
FLNTC            249.673             249.584             0.089         0.520
FSDS             117.847             117.895            -0.047         2.349
FSDSC            165.188             165.453            -0.265         0.475
FSNS             105.847             105.866            -0.019         2.123
FSNSC            148.314             148.519            -0.205         0.410
FSNSC_ICE         23.788              23.823            -0.035         0.090
FSNSC_LAND        96.499              96.716            -0.217         0.675
FSNT             153.702             153.701             0.001         1.886
FSNTC            193.690             193.882            -0.192         0.339
ICEAREA            7.464               7.464             0.000         0.000
LHFLX             76.443              76.392             0.051         3.559
LWCF              27.322              27.397            -0.074         1.102
PRECT              2.411               2.411             0.000         0.161
PRECT_LAND         1.332               1.319             0.013         0.162
PRECT_OCEAN        2.707               2.705             0.002         0.165
PREH2O            16.668              16.738            -0.070         0.360
PREH2O_OCEAN      18.811              18.864            -0.052         0.348
PSI_200            8.237               8.237             0.000         0.086
PS               983.637             983.621             0.016         0.636
PSL             1008.188            1008.175             0.013         0.637
QFLX               2.579               2.577             0.002         0.105
SHFLX             13.195              13.191             0.004         1.260
SNOWHLND          47.502              47.670            -0.168         2.350
SST               13.994              13.994            -0.000         0.005
STRESS_MAG         0.097               0.098            -0.001         0.008
SWCF             -39.989             -40.181             0.193         1.898
T_850            274.727             274.744            -0.017         0.216
TGCLDLWP         148.573             148.575            -0.002         7.636
TGCLDIWP          22.278              22.279            -0.001         1.065
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           280.111             280.097             0.015         0.207
TS               280.844             280.831             0.013         0.204
TS_LAND          260.553             260.472             0.082         0.461
U_200             25.690              25.765            -0.075         0.804
VT_850            -0.128              -0.123            -0.005         0.679
Z3_500            54.846              54.845             0.001         0.073
