DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM            18.987              19.039            -0.052         1.654
RESSURF           31.543              31.569            -0.026         4.082
SOLIN            365.515             365.515             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            2.429               2.348             0.081         0.243
CLDHGH            25.155              25.179            -0.023         1.492
CLDLOW            40.143              40.165            -0.022         1.223
CLDMED            20.252              20.188             0.065         1.198
CLDTOT            53.784              53.852            -0.067         1.421
EKE_850           41.359              40.720             0.639         2.177
EP             1.302e-01           1.336e-01        -3.326e-03         0.164
FLNS              62.797              62.798            -0.001         1.513
FLNSC             94.695              94.595             0.100         0.839
FLNT             222.005             221.879             0.126         1.391
FLNTC            246.444             246.361             0.083         0.486
FSDS             204.986             205.024            -0.038         2.943
FSDSC            276.758             276.946            -0.188         0.508
FSNS             168.130             168.087             0.043         2.645
FSNSC            230.259             230.384            -0.125         0.471
FSNSC_ICE         65.356              65.314             0.042         0.225
FSNSC_LAND       141.934             141.985            -0.051         0.800
FSNT             240.992             240.918             0.074         2.250
FSNTC            296.244             296.351            -0.108         0.394
ICEAREA           16.975              16.975             0.000         0.000
LHFLX             60.129              60.271            -0.142         3.145
LWCF              24.439              24.482            -0.043         1.150
PRECT              1.890               1.891            -0.001         0.154
PRECT_LAND         1.337               1.361            -0.024         0.156
PRECT_OCEAN        2.095               2.090             0.005         0.163
PREH2O            13.807              13.844            -0.037         0.287
PREH2O_OCEAN      16.202              16.244            -0.042         0.294
PSI_200            7.491               7.493            -0.003         0.103
PS               982.621             982.617             0.004         0.704
PSL             1007.024            1007.008             0.016         0.724
QFLX               2.020               2.024            -0.004         0.098
SHFLX             13.662              13.450             0.212         1.529
SNOWHLND          47.639              47.781            -0.142         2.205
SST               12.545              12.544             0.000         0.004
STRESS_MAG         0.100               0.102            -0.002         0.008
SWCF             -55.251             -55.433             0.182         2.295
T_850            273.152             273.082             0.070         0.235
TGCLDLWP         134.129             134.189            -0.060         6.979
TGCLDIWP          21.291              21.304            -0.014         1.126
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           278.180             278.143             0.037         0.179
TS               278.762             278.721             0.041         0.179
TS_LAND          263.374             263.244             0.129         0.345
U_200             27.163              27.232            -0.069         1.017
VT_850            -0.237              -0.232            -0.004         0.829
Z3_500            54.430              54.420             0.010         0.084
