DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM            48.217              48.615            -0.398         1.048
RESSURF           15.011              15.185            -0.175         1.836
SOLIN            407.434             407.434             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.538              -0.539             0.002         0.149
CLDHGH            41.419              41.526            -0.107         0.889
CLDLOW            29.497              29.485             0.011         0.470
CLDMED            17.983              17.998            -0.016         0.555
CLDTOT            56.545              56.577            -0.032         0.745
EKE_850           17.072              17.001             0.070         0.579
EP            -1.644e-01          -1.519e-01        -1.250e-02         0.156
FLNS              55.461              55.496            -0.035         0.573
FLNSC             73.021              73.020             0.002         0.392
FLNT             246.904             246.748             0.156         1.205
FLNTC            286.405             286.370             0.035         0.307
FSDS             220.952             221.671            -0.719         1.892
FSDSC            293.983             295.023            -1.040         1.524
FSNS             204.834             205.497            -0.662         1.738
FSNSC            273.350             274.304            -0.954         1.384
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       245.943             247.325            -1.382         1.867
FSNT             295.122             295.363            -0.242         1.402
FSNTC            360.652             361.219            -0.567         0.792
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            117.804             118.141            -0.338         1.873
LWCF              39.501              39.622            -0.121         0.974
PRECT              4.256               4.254             0.003         0.142
PRECT_LAND         4.239               4.258            -0.020         0.128
PRECT_OCEAN        4.234               4.224             0.010         0.145
PREH2O            39.950              39.977            -0.027         0.196
PREH2O_OCEAN      41.777              41.795            -0.018         0.195
PSI_200           -0.862              -0.873             0.010         0.023
PS               995.734             995.760            -0.027         0.051
PSL             1010.858            1010.883            -0.025         0.054
QFLX               4.092               4.102            -0.010         0.053
SHFLX             16.560              16.674            -0.115         0.740
SNOWHLND           0.000               0.000             0.000         0.000
SST               26.672              26.672            -0.000         0.001
STRESS_MAG         0.062               0.062            -0.000         0.001
SWCF             -65.531             -65.856             0.325         1.406
T_850            289.196             289.197            -0.002         0.049
TGCLDLWP         117.797             117.739             0.059         3.552
TGCLDIWP           9.720               9.757            -0.036         0.382
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.069             298.081            -0.012         0.058
TS               299.108             299.122            -0.014         0.072
TS_LAND          296.584             296.645            -0.061         0.152
U_200              2.415               2.425            -0.010         0.256
VT_850             0.624               0.620             0.004         0.176
Z3_500            58.349              58.352            -0.002         0.005
