DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM            51.805              52.081            -0.275         1.820
RESSURF           12.699              12.378             0.322         3.285
SOLIN            412.428             412.428             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.644              -0.677             0.034         0.467
CLDHGH            42.980              43.118            -0.138         1.765
CLDLOW            29.305              29.358            -0.053         0.767
CLDMED            18.761              18.746             0.016         1.169
CLDTOT            57.260              57.355            -0.094         1.466
EKE_850           11.342              11.329             0.013         1.065
EP            -1.819e-01          -1.707e-01        -1.118e-02         0.342
FLNS              55.615              55.682            -0.067         0.953
FLNSC             72.949              73.021            -0.072         0.639
FLNT             245.202             245.029             0.173         2.470
FLNTC            286.254             286.182             0.072         0.599
FSDS             222.651             223.092            -0.441         3.240
FSDSC            297.587             298.269            -0.682         1.402
FSNS             206.397             206.799            -0.402         3.015
FSNSC            276.724             277.352            -0.629         1.288
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       249.596             250.470            -0.873         1.894
FSNT             297.008             297.109            -0.102         2.818
FSNTC            364.706             365.036            -0.331         0.715
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            122.362             122.954            -0.591         3.354
LWCF              41.052              41.154            -0.102         2.026
PRECT              4.433               4.441            -0.008         0.319
PRECT_LAND         4.672               4.670             0.002         0.327
PRECT_OCEAN        4.323               4.333            -0.010         0.313
PREH2O            39.665              39.634             0.031         0.377
PREH2O_OCEAN      41.644              41.605             0.039         0.370
PSI_200            0.982               0.977             0.004         0.060
PS               994.881             994.882            -0.001         0.071
PSL             1010.004            1010.005            -0.001         0.074
QFLX               4.251               4.270            -0.019         0.091
SHFLX             15.721              15.786            -0.065         1.083
SNOWHLND           0.000               0.000             0.000         0.000
SST               26.651              26.651            -0.000         0.001
STRESS_MAG         0.073               0.073            -0.000         0.003
SWCF             -67.698             -67.927             0.229         2.861
T_850            288.994             288.977             0.018         0.069
TGCLDLWP         122.592             122.464             0.128         7.598
TGCLDIWP          10.001              10.035            -0.034         0.821
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           297.911             297.913            -0.003         0.076
TS               298.899             298.905            -0.006         0.092
TS_LAND          295.775             295.801            -0.026         0.194
U_200              4.540               4.509             0.031         0.655
VT_850            -1.870              -1.879             0.009         0.302
Z3_500            58.269              58.265             0.004         0.008
