DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM            29.616              30.140            -0.524         2.013
RESSURF           -3.211              -2.812            -0.399         3.267
SOLIN            388.500             388.500             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.497              -0.495            -0.002         0.306
CLDHGH            40.277              40.220             0.056         1.699
CLDLOW            31.181              31.017             0.165         0.978
CLDMED            18.271              18.290            -0.019         1.052
CLDTOT            57.283              57.112             0.171         1.398
EKE_850           10.803              10.604             0.200         1.002
EP            -4.795e-03           1.514e-02        -1.993e-02         0.274
FLNS              54.955              55.068            -0.113         1.049
FLNSC             73.605              73.568             0.038         0.603
FLNT             246.348             246.359            -0.011         2.051
FLNTC            285.600             285.658            -0.058         0.549
FSDS             203.642             205.103            -1.461         3.535
FSDSC            278.653             280.508            -1.855         2.805
FSNS             188.642             189.990            -1.349         3.251
FSNSC            258.654             260.362            -1.708         2.590
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       232.279             235.347            -3.068         3.903
FSNT             275.964             276.499            -0.535         2.580
FSNTC            342.942             343.898            -0.956         1.411
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            120.214             120.748            -0.533         3.165
LWCF              39.252              39.299            -0.047         1.709
PRECT              4.158               4.154             0.004         0.247
PRECT_LAND         3.330               3.357            -0.027         0.224
PRECT_OCEAN        4.392               4.379             0.013         0.252
PREH2O            39.376              39.442            -0.066         0.360
PREH2O_OCEAN      41.282              41.341            -0.059         0.354
PSI_200           -2.868              -2.900             0.032         0.056
PS               996.788             996.860            -0.072         0.102
PSL             1011.967            1012.036            -0.069         0.107
QFLX               4.154               4.169            -0.016         0.088
SHFLX             16.684              16.987            -0.304         1.265
SNOWHLND           0.000               0.000             0.000         0.000
SST               26.426              26.426            -0.000         0.001
STRESS_MAG         0.076               0.077            -0.001         0.003
SWCF             -66.978             -67.398             0.421         2.672
T_850            288.746             288.760            -0.014         0.095
TGCLDLWP         128.989             128.621             0.368         7.084
TGCLDIWP           9.909               9.949            -0.039         0.685
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           297.689             297.712            -0.024         0.087
TS               298.717             298.742            -0.026         0.102
TS_LAND          295.710             295.820            -0.111         0.215
U_200             -2.117              -2.099            -0.019         0.429
VT_850             3.361               3.345             0.016         0.331
Z3_500            58.373              58.382            -0.009         0.011
