DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM            55.480              55.960            -0.479         1.922
RESSURF           24.547              24.730            -0.184         3.835
SOLIN            411.897             411.897             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.535              -0.530            -0.005         0.255
CLDHGH            42.102              42.303            -0.201         1.971
CLDLOW            27.423              27.361             0.062         0.847
CLDMED            17.329              17.321             0.008         1.157
CLDTOT            55.331              55.404            -0.072         1.611
EKE_850           11.044              11.198            -0.154         1.041
EP            -1.910e-01          -1.767e-01        -1.431e-02         0.342
FLNS              55.930              55.996            -0.066         1.062
FLNSC             72.367              72.395            -0.028         0.703
FLNT             247.858             247.618             0.241         2.533
FLNTC            287.289             287.248             0.040         0.659
FSDS             229.002             229.556            -0.554         3.391
FSDSC            297.277             298.026            -0.749         1.461
FSNS             212.058             212.553            -0.495         3.168
FSNSC            276.264             276.941            -0.676         1.335
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       248.322             249.068            -0.747         1.917
FSNT             303.339             303.577            -0.239         2.806
FSNTC            364.747             365.188            -0.441         0.701
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            115.436             115.545            -0.109         3.814
LWCF              39.430              39.631            -0.200         2.054
PRECT              4.204               4.192             0.012         0.316
PRECT_LAND         4.390               4.383             0.007         0.226
PRECT_OCEAN        4.120               4.105             0.015         0.337
PREH2O            40.937              40.957            -0.020         0.397
PREH2O_OCEAN      42.957              42.990            -0.032         0.400
PSI_200           -0.261              -0.262             0.000         0.068
PS               995.499             995.454             0.045         0.094
PSL             1010.598            1010.550             0.048         0.102
QFLX               4.013               4.015            -0.002         0.107
SHFLX             16.146              16.282            -0.136         1.230
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.202              27.202            -0.000         0.002
STRESS_MAG         0.060               0.060             0.000         0.003
SWCF             -61.408             -61.611             0.202         2.790
T_850            289.826             289.836            -0.011         0.092
TGCLDLWP         105.390             105.162             0.228         7.635
TGCLDIWP           9.541               9.576            -0.035         0.760
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.670             298.685            -0.015         0.086
TS               299.719             299.735            -0.016         0.100
TS_LAND          297.468             297.538            -0.069         0.210
U_200              5.826               5.863            -0.037         0.674
VT_850             0.417               0.399             0.019         0.359
Z3_500            58.411              58.409             0.002         0.008
