DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: DirtyAirFixedSST (yrs 5-24)
 
CONTROL CASE: ControlFixedSST (yrs 5-24)
 
Variable     DirtyAirFixedSST     ControlFixedSST     DirtyAirFixedSST        RMSE
                                                      -ControlFixedSST
RESTOM            56.194              56.436            -0.242         1.935
RESSURF           26.147              26.508            -0.361         3.820
SOLIN            417.126             417.126             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.459              -0.447            -0.012         0.388
CLDHGH            40.356              40.490            -0.134         1.793
CLDLOW            30.074              30.207            -0.133         0.836
CLDMED            17.575              17.654            -0.079         1.181
CLDTOT            56.314              56.456            -0.142         1.442
EKE_850           11.818              11.838            -0.020         1.208
EP            -2.806e-01          -2.778e-01        -2.797e-03         0.322
FLNS              55.364              55.234             0.129         1.061
FLNSC             73.179              73.091             0.089         0.725
FLNT             248.173             247.950             0.223         2.387
FLNTC            286.471             286.377             0.095         0.616
FSDS             228.692             229.023            -0.331         3.583
FSDSC            302.591             303.450            -0.859         2.032
FSNS             212.415             212.733            -0.318         3.294
FSNSC            281.929             282.719            -0.790         1.808
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       253.739             254.563            -0.824         2.884
FSNT             304.367             304.386            -0.020         2.788
FSNTC            370.407             370.943            -0.535         0.893
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            113.221             113.359            -0.138         3.609
LWCF              38.298              38.426            -0.128         1.945
PRECT              4.229               4.231            -0.002         0.305
PRECT_LAND         4.584               4.635            -0.051         0.289
PRECT_OCEAN        4.095               4.081             0.015         0.310
PREH2O            39.803              39.870            -0.067         0.411
PREH2O_OCEAN      41.199              41.238            -0.039         0.416
PSI_200           -1.269              -1.273             0.004         0.043
PS               995.740             995.810            -0.070         0.112
PSL             1010.835            1010.905            -0.070         0.117
QFLX               3.949               3.953            -0.004         0.104
SHFLX             17.683              17.631             0.052         1.161
SNOWHLND           0.000               0.000             0.000         0.000
SST               26.404              26.404             0.000         0.002
STRESS_MAG         0.061               0.061            -0.000         0.003
SWCF             -66.041             -66.556             0.516         2.791
T_850            289.212             289.216            -0.003         0.113
TGCLDLWP         114.171             114.797            -0.626         7.345
TGCLDIWP           9.435               9.472            -0.038         0.761
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           297.999             298.009            -0.010         0.098
TS               299.091             299.100            -0.009         0.117
TS_LAND          297.368             297.411            -0.043         0.247
U_200              1.421               1.483            -0.061         0.505
VT_850             0.552               0.575            -0.023         0.349
Z3_500            58.339              58.345            -0.007         0.010
